19RS714,"19 Ring Plastic Comb Binding - 1-1/2"" - Forest Green",3,12.62,2017-01-13 18:44:52,19.49
19RS715,"19 Ring Plastic Comb Binding - 1-3/4"" - Forest Green",32,6.84,2017-01-13 18:44:52,10.69
19RS716,"19 Ring Plastic Comb Binding - 2"" - Forest Green",7,7.22,2017-01-13 18:44:52,11.49
19RS802,"19 Ring Plastic Comb Binding - 1/4"" - Clear",27,1.64,2017-01-13 18:44:52,2.67
19RS803,"19 Ring Plastic Comb Binding - 5/16"" - Clear",5,1.96,2017-04-13 20:20:46,3.25
19RS804,"19 Ring Plastic Comb Binding - 3/8"" - Clear",4,2.24,2017-01-13 18:44:52,3.73
19RS805,"19 Ring Plastic Comb Binding - 7/16"" - Clear",5,2.51,2017-01-13 18:44:52,4.18
19RS806,"19 Ring Plastic Comb Binding - 1/2"" - Clear",2,3.18,2017-01-13 18:44:52,4.97
19RS807,"19 Ring Plastic Comb Binding - 9/16"" - Clear",13,3.69,2017-01-13 18:44:52,6.12
19RS808,"19 Ring Plastic Comb Binding - 5/8"" - Clear",9,4.69,2017-01-13 18:44:52,7.68
19RS809,"19 Ring Plastic Comb Binding - 3/4"" - Clear",6,5.85,2017-01-13 18:44:52,8.79
19RS810,"19 Ring Plastic Comb Binding - 7/8"" - Clear",52,6.78,2017-01-13 18:44:52,10.19
19RS811,"19 Ring Plastic Comb Binding - 1"" - Clear",14,8.69,2017-03-15 21:02:07,12.39
19RS812,"19 Ring Plastic Comb Binding - 1-1/8"" - Clear",10,9.09,2017-01-13 18:44:52,15.59
19RS813,"19 Ring Plastic Comb Binding - 1-1/4"" - Clear",10,9.96,2017-01-13 18:44:52,17.79
19RS814,"19 Ring Plastic Comb Binding - 1-1/2"" - Clear",11,12.62,2017-01-13 18:44:52,19.49
19RS815,"19 Ring Plastic Comb Binding - 1-3/4"" - Clear",4,6.84,2017-01-13 18:44:52,10.69
19RS816,"19 Ring Plastic Comb Binding - 2"" - Clear",1,7.22,2017-01-13 18:44:52,11.49
19RS9005,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 7/16"" - Black",1,4.7,2017-01-13 18:44:52,9.4
19RS9008,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 5/8"" - Black",1,9.84,2017-01-13 18:44:52,17.6
19RS9104,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 3/8"" - White",1,3.73,2017-01-13 18:44:52,8.64
19RS9112,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 1-1/8"" - White",4,10.46,2017-01-13 18:44:52,32.26
19RS9113,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 1-1/4"" - White",1,12.94,2017-01-13 18:44:52,39.88
19RS9209,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 3/4"" - Blue",1,0,2017-01-13 18:44:52,19.58
19RS9404,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 3/8"" - Navy",2,4.32,2017-01-13 18:44:52,8.64
19RS9409,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 3/4"" - Navy",2,9.32,2017-01-13 18:44:52,19.58
19RS9412,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 1-1/8"" - Navy",1,13.13,2017-01-13 18:44:52,32.26
19RS9509,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 2"" - Navy",1,0,2017-01-10 20:33:51,\N
40PART-R1750EB,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 2"" - Navy",1,90,2017-01-10 20:33:51,\N
40PART-R1750EC,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 2"" - Navy",1,90,2017-01-10 20:33:51,\N
A-BIND1220F,GBC Magnapunch 2:1 WireBind Square Holes,1,0,2017-01-13 18:44:52,936.37
A-BIND1220G,GBC Magnapunch 3:1 WireBind Round Holes,1,580,2017-01-13 18:44:52,936.37
A-BIND1220H,GBC Magnapunch 2:1 WireBind Round Holes,1,580,2017-01-13 18:44:52,936.37
A-BIND1220R,GBC Magnapunch 2-4 Hole For A4 European Paper,1,0,2017-01-10 20:33:51,\N
A-BIND2010,Akiles Coil Crimping Pliers,4,16,2017-04-11 20:27:16,29.85
A-BIND2375,Rhin-O-Tuff HD6500/7000 5MM Round Hole Spacing .140 Hole Diameter,1,0,2017-01-13 18:44:52,870
A-BIND2400,Rhin-O-Tuff HD6500/7000 Comb 9/16 Hole Spacing - .125 X .312 Hole Size,1,539,2017-01-13 18:44:52,980
A-BIND2485,Rhin-O-Tuff HD7700 2:1 Square .500 Hole Spacing - .250 Hole Diameter,1,345,2017-01-13 18:44:52,980
A-BIND2508,Rhin-O-Tuff HD7700 4:1 Round .248 Hole Spacing - .188 Hole Diameter,1,516.75,2017-01-13 18:44:52,870
A-BIND7010,"Renz DTP 340M/340A Velo Bind 1"" Spacing Round Hole 3mm Pitch",11,90.21,2017-01-10 20:33:51,\N
A-BIND7122,Standard BQ-P60 Glue 11lb box,10,18,2017-01-10 20:33:51,\N
A-BIND9104,Standard BQ-P60 Glue 11lb box,1,2080,2017-01-10 20:33:51,\N
A-BINDER00223,ISP 52lbs of Galvanized 25 Gauge Round Wire,50,3.06,2017-01-10 20:33:51,\N
A-BINDER00421,ISP 52lbs of Galvanized 25 Gauge Round Wire,20,1.24,2017-01-10 20:33:51,\N
A-BINDER00977,ISP 52lbs of Galvanized 25 Gauge Round Wire,50,1.75,2017-01-10 20:33:51,\N
A-BINDER01069,ISP 52lbs of Galvanized 25 Gauge Round Wire,50,2.42,2017-01-10 20:33:51,\N
A-BINDER01566,ISP 52lbs of Galvanized 25 Gauge Round Wire,144,3.11,2017-01-10 20:33:51,\N
A-BOARD02071,ISP 52lbs of Galvanized 25 Gauge Round Wire,2,0,2017-01-10 20:33:51,\N
A-BOARD2000,Dri Mark Chisel Tip Dry Erase Markers (4/pk),126,1.85,2017-01-13 18:44:52,3.7
A-BOARD2002,Dri Mark Chisel Tip Dry Erase Markers (8/pk),51,3.44,2017-01-13 18:44:52,6.88
A-BOARD2004,Dri Mark Bullet Tip Dry Erase Markers (4/pk),56,1.44,2017-01-13 18:44:52,2.99
A-BOOK4000,"Incrediline Incredimats ""Divide & Conquer"" 17"" x 11"" Activity Mat",8,5,2017-01-10 20:33:51,\N
A-CLIP00076,"Incrediline Incredimats ""Divide & Conquer"" 17"" x 11"" Activity Mat",15,8.75,2017-01-10 20:33:51,\N
A-COMP00667,"Incrediline Incredimats ""Divide & Conquer"" 17"" x 11"" Activity Mat",1,10.83,2017-01-10 20:33:51,\N
A-COMP00748,"Incrediline Incredimats ""Divide & Conquer"" 17"" x 11"" Activity Mat",2,3.74,2017-01-10 20:33:51,\N
A-COMP01280,"Incrediline Incredimats ""Divide & Conquer"" 17"" x 11"" Activity Mat",1,39.61,2017-01-10 20:33:51,\N
A-COMP7510,"Incrediline Incredimats ""Divide & Conquer"" 17"" x 11"" Activity Mat",1,3.15,2017-01-10 20:33:51,\N
A-COUNT1100,Royal Sovereign 216 pack Assorted Coin Wrappers,12,5.81,2017-01-13 18:44:52,11.65
A-COUNT1301,1000 Penny Crimped Coin Wrappers,32,0,2017-01-10 20:33:51,\N
A-COUNT1311-150,150 Assorted Crimped Coin Wrappers,17,5.94,2017-01-13 18:44:52,10.95
A-COUNT1311-36,36 Assorted Crimped Coin Wrappers,4,0.48,2017-01-13 18:44:52,2.99
A-COUNT1336,Black $25 Self Sealing Currency Straps (1000/Box),1,0,2017-01-13 18:44:52,3.95
A-COUNT1402,Waffled Currency Counter Cleaning Cards (25 pack),1,25,2017-01-13 18:44:52,46
A-COUNT1410,Air Duster 10oz Can,1,5.66,2017-01-13 18:44:52,7.99
A-COUNT1500,White Duck Cloth Coin Bags 11 x 17-1/2 10oz,25,1.9,2017-03-13 21:39:41,2.75
A-COUNT1510,"Mariner Blue Canvas 10-1/2"" x 9"" Locking Deposit Bags",7,16.29,2017-01-13 18:44:52,27
A-COUNT1550,"Mariner Blue 11"" x 6"" Wallet Style Zipper Bag",41,0,2017-01-13 18:44:52,4.85
A-COUNT2015,MMF Four Coin Tube Set,1,0,2017-01-10 20:33:51,\N
A-CUTT1040,Dahle Hobby Trimmer - Perf Cutting Head,1,19.98,2017-01-10 20:33:51,\N
A-CUTT1055,"Dahle 18"" x 24"" Cutting Mat - Blue - Each",1,10.74,2017-01-13 18:44:52,20.95
A-CUTT2102,MBM Model 4205  4215  4255EP  4250  4315  4350 Cutting Sticks (6/box),0,104.3,2017-02-23 22:37:56,149
A-CUTT3010,My-Trim Ease Lubricant (Per Stick),3,10.5,2017-01-13 18:44:52,19.95
A-CUTT3027,"Martin Yale 26"" PowerLine Cutting Blade",1,0,2017-01-13 18:44:52,299
A-CUTT4500,Carl B01 Straight Blade,1,3.97,2017-01-26 21:55:49,6.85
A-CUTT4510,Carl B02 Perforating Blade,6,4.39,2017-01-13 18:44:52,7.95
A-CUTT4520,Carl B03 Deckle Blade,4,4.63,2017-01-13 18:44:52,8.15
A-CUTT4530,Carl B04 Shortwave Blade,4,4.63,2017-01-13 18:44:52,8.15
A-CUTT4540,Carl B05 Pinking Blade,3,4.63,2017-01-13 18:44:52,8.15
A-CUTT4550,Carl B06 Scallop Blade,4,4.63,2017-01-13 18:44:52,8.15
A-CUTT4560,Carl B07 Squiggle Blade,2,4.63,2017-01-13 18:44:52,8.15
A-CUTT4570,Carl B08 Victorian Blade,2,4.63,2017-01-13 18:44:52,8.15
