19RS212,1-1/8'' Blue 19 Ring Plastic C,SOUTHWEST PLASTIC BINDING,,10.96,
19RS212,1-1/8'' Blue 19 Ring Plastic C,Spiral Binding Co,13118BLUE,10.8,*
19RS213,1-1/4'' Blue 19 Ring Plastic C,SOUTHWEST PLASTIC BINDING,,10.27,
19RS213,1-1/4'' Blue 19 Ring Plastic C,Spiral Binding Co,13114BLUE,11.5,*
19RS214,1-1/2'' Blue 19 Ring Plastic C,SOUTHWEST PLASTIC BINDING,,11.59,
19RS214,1-1/2'' Blue 19 Ring Plastic C,Spiral Binding Co,13112BLUE,12.91,*
19RS215,1-3/4'' Blue 19 Ring Plastic C,SOUTHWEST PLASTIC BINDING,,6.53,
19RS215,1-3/4'' Blue 19 Ring Plastic C,Spiral Binding Co,13134BLUE,7.11,*
19RS216,2'' Blue 19 Ring Plastic Comb,Spiral Binding Co,13200BLUE,7.52,*
19RS302,1/4'' Red 19 Ring Plastic Comb,SOUTHWEST PLASTIC BINDING,,1.51,
19RS302,1/4'' Red 19 Ring Plastic Comb,Spiral Binding Co,13014REDD,1.92,*
19RS303,5/16'' Red 19 Ring Plastic Com,SOUTHWEST PLASTIC BINDING,,1.83,
19RS303,5/16'' Red 19 Ring Plastic Com,Spiral Binding Co,13516REDD,2.15,*
19RS303,5/16'' Red 19 Ring Plastic Com,TAMERICA PRODUCTS INC.,,1.96,
19RS304,3/8'' Red 19 Ring Plastic Comb,SOUTHWEST PLASTIC BINDING,,2.14,
19RS304,3/8'' Red 19 Ring Plastic Comb,Spiral Binding Co,13038REDD,2.32,*
19RS305,7/16'' Red 19 Ring Plastic Com,SOUTHWEST PLASTIC BINDING,,2.73,
19RS305,7/16'' Red 19 Ring Plastic Com,Spiral Binding Co,13716REDD,2.99,*
19RS306,1/2'' Red 19 Ring Plastic Comb,SOUTHWEST PLASTIC BINDING,,3.17,
19RS306,1/2'' Red 19 Ring Plastic Comb,Spiral Binding Co,13012REDD,3.18,*
19RS307,9/16'' Red 19 Ring Plastic Com,SOUTHWEST PLASTIC BINDING,,3.75,
19RS307,9/16'' Red 19 Ring Plastic Com,Spiral Binding Co,13916REDD,3.95,*
19RS307,9/16'' Red 19 Ring Plastic Com,TAMERICA PRODUCTS INC.,,3.69,
19RS308,5/8'' Red 19 Ring Plastic Comb,SOUTHWEST PLASTIC BINDING,,4.38,
19RS308,5/8'' Red 19 Ring Plastic Comb,Spiral Binding Co,13058REDD,4.92,*
19RS309,3/4'' Red 19 Ring Plastic Comb,SOUTHWEST PLASTIC BINDING,,5.51,
19RS309,3/4'' Red 19 Ring Plastic Comb,Spiral Binding Co,13034REDD,5.92,*
19RS310,7/8'' Red 19 Ring Plastic Comb,SOUTHWEST PLASTIC BINDING,,7.03,
19RS310,7/8'' Red 19 Ring Plastic Comb,Spiral Binding Co,13078REDD,7.15,*
19RS311,1'' Red 19 Ring Plastic Comb B,SOUTHWEST PLASTIC BINDING,,9.37,
19RS311,1'' Red 19 Ring Plastic Comb B,Spiral Binding Co,13100REDD,9.02,*
19RS312,1-1/8'' Red 19 Ring Plastic Co,SOUTHWEST PLASTIC BINDING,,10.96,
19RS312,1-1/8'' Red 19 Ring Plastic Co,Spiral Binding Co,13118REDD,10.8,*
19RS313,1-1/4'' Red 19 Ring Plastic Co,SOUTHWEST PLASTIC BINDING,,10.27,
19RS313,1-1/4'' Red 19 Ring Plastic Co,Spiral Binding Co,13114REDD,11.5,*
19RS314,1-1/2'' Red 19 Ring Plastic Co,SOUTHWEST PLASTIC BINDING,,11.59,
19RS314,1-1/2'' Red 19 Ring Plastic Co,Spiral Binding Co,13112REDD,12.91,*
19RS315,1-3/4'' Red 19 Ring Plastic Co,SOUTHWEST PLASTIC BINDING,,6.53,
19RS315,1-3/4'' Red 19 Ring Plastic Co,Spiral Binding Co,13134REDD,7.11,*
19RS316,2'' Red 19 Ring Plastic Comb B,Spiral Binding Co,13200REDD,7.52,*
19RS402,1/4'' Navy 19 Ring Plastic Com,AKILES PRODUCTS INC,EP104NV,1.51,
19RS402,1/4'' Navy 19 Ring Plastic Com,SOUTHWEST PLASTIC BINDING,,1.51,
19RS402,1/4'' Navy 19 Ring Plastic Com,Spiral Binding Co,13014NAVY,1.92,*
19RS402,1/4'' Navy 19 Ring Plastic Com,TAMERICA PRODUCTS INC.,,1.64,
19RS403,5/16'' Navy 19 Ring Plastic Co,AKILES PRODUCTS INC,EP516NV,1.84,
19RS403,5/16'' Navy 19 Ring Plastic Co,SOUTHWEST PLASTIC BINDING,4011185G,1.84,
19RS403,5/16'' Navy 19 Ring Plastic Co,Spiral Binding Co,13516NAVY,2.15,*
